bitfield
101010001101111001010011000011010000101101111011110010011011100100100101101000101000100100111011
110010001101100001010011101001110110100010010111010010110010011111001110001011001111100000000000
000110000100111101010010111111101111100111101011010100001001100011110110001010011001101010000000
110110111111110101010011100011010000101100000110010010000011101010100100110010110100100100101011
111010111111010101010011010110110000101101000111000010000001101011100100110010110000100100111011
001100101010000001010011001111010100001000101011010011011101101101101111100010111011011000111101
111110110101011101010011101011110111111100110010001001111000111000010100010101111111101010111001
011110111100011101010011011000110111110110111111010000111101100010010100000101111111011000101101
111110110000011101010011001001010111110101010111001000111101100011010110000101111111001000101001
